Glacier Name (FINAL),Country,State/Province/First Order Administrative Area,Latitude,Longitude,Coverage Spatial,GLIMS ID,Historical or Variant Name,Documentation Notes - CLEAN,Documentation Notes
Abay Glacier,Kazakhstan,Almaty,43.0932,77.0998,"Abay Glacier (Almaty, Kazakhstan, Asia) (glacier); Pik Abaya (Almaty, Kazakhstan, Asia) (peak)",,Абая,NSIDC GPC coordinates / No GLIMS / Coverage for Abay Glacier = glacier on Pik Abaya (NGA GeoNames coverage provided for peak) - KF 11/1/2018,NSIDC GPC coordinates / No GLIMS / Coverage for Abay Glacier = glacier on Pik Abaya (NGA GeoNames coverage provided for peak) - KF 11/1/2018
Abramov Glacier,Kyrgyzstan,Osh,39.628971,71.560343,"Lednik Abramova (Osh, Kyrgyzstan, Asia) (glacier)",G071570E39610N,Abramov Glacier; Ледник Абрамова,NGA GeoNames coordinates / constructed / GLIMS / 11/1/2018 KF,NGA GeoNames coordinates / constructed / GLIMS / 11/1/2018 KF
Academy Glacier,Greenland,Qaasuitsup,77.239722,-65.438889,"Academy Gletscher (Qaasuitsup, Greenland, North America) (glacier)",,Academy Glacier; Academy Gletscher,"NGA GeoNames coordinates / constructed / No GLIMS / 11/1/2018 KF - two ""Academy Glacier"" in Greenland - chose coverage & coordinates based on coordinates listed from initial GPC scrape.","NGA GeoNames coordinates / constructed / No GLIMS / 11/1/2018 KF - two ""Academy Glacier"" in Greenland - chose coverage & coordinates based on coordinates listed from initial GPC scrape. Original GLIMS ID listed was for Academy of Sciences Ice Cap in Svalbard and Jan Mayen (removed)."
Adams Glacier (Alaska),United States,Alaska,58.7826082,-135.8399206,"Adams Glacier (Hoonah-Angoon, Alaska, United States, North America) (glacier)",G224160E58782N,Adams Inlet Glacier,Coordinates GNIS; coverage built; GLIMS verified 2/13/18 AM,Coordinates GNIS; coverage built; GLIMS verified 2/13/18 AM North America added 9/27/18 AM
Adams Glacier (Nunavut),Canada,Nunavut,81.628333,-74.416667,"Adams Glacier (Nunavut, Canada, North America) (glacier)",G285167E81755N,,Natural Resources Canada / Constructed / GLIMS / 2/13/2019,Natural Resources Canada / Constructed / GLIMS / 2/13/2019
Adams Glacier (Washington),United States,Washington,46.217343,-121.5117501,"Adams Glacier (Yakima, Washington, United States, North America) (glacier)",G238490E46217N,,coordinates GNIS - Mt. Adams West. Coverage built; glims verified 2/27/18 AM,coordinates GNIS - Mt. Adams West. Coverage built; glims verified 2/27/18 AM
Adams Inlet,United States,Alaska,58.8561111,-135.9991667,"Adams Inlet (Hoonah-Angoon, Alaska, United States, North America) (bay)",,,coordinates GNIS Juneau D-6 map; coverage built verified 2/13/18,coordinates GNIS Juneau D-6 map; coverage built verified 2/13/18 AM North America added 9/27/18 AM
Adams Plateau Glacier,United States,Alaska,58.7826082,-135.8399206,"Adams Plateau Glacier (Hoonah-Agoon, Alaska, United States, North America) (glacier)",G224160E58782N,Adams Plateau Glacier,Adams Plateau is a variant name of Adams Glacier; coordinates GNIS; coverage built; GLIMS verified,Adams Plateau is a variant name of Adams Glacier; coordinates GNIS; coverage built; GLIMS verified North America added 9/27/18 AM
Mq’invari Adishi,Georgia; Russian Federation,Samegrelo-Zemo Svaneti; Kabardino-Balkariya,43.024444,43.018056,"Mq’invari Adishi (Samegrelo-Zemo Svaneti, Georgia, Asia) - (Kabardino-Balkariya, Russian Federation, Asia) (glacier)",G043016E43017N,Adishi Glacier,NGA GeoNames / Constructed / GLIMS / 11/6/2018 KF - administrative divisions in GPC scraped coverage and confirmed through searching.,NGA GeoNames / Constructed / GLIMS / 11/6/2018 KF - administrative divisions in GPC scraped coverage and confirmed through searchingQ
Adlergletscher,Switzerland,Valais,46.014,7.879,"Adlergletscher (Valais, Switzerland, Europe) (glacier)",G007879E46014N,Adlergletscher; Adler Glacier,"NSIDC / Constructed / GLIMS / 10/10/2018 KF - checked NGA GeoNames (none), no record in swiss-glaciers website, identified coordinates, name, and location using GLIMS database.","NSIDC / Constructed / GLIMS / 10/10/2018 KF - checked NGA GeoNames (none), no record in swiss-glaciers website, identified coordinates, name, and location using GLIMS database."
,,,,,Africa (continent),,,General coverage for continent.,
Agassiz Creek,United States,Montana,48.9352778,-114.1522222,"Agassiz Creek (Flathead, Montana, United States, North America) (creek)",,,,
Agassiz Glacier (Alaska),United States,Alaska,60.064974,-140.9233579,"Agassiz Glacier (Yakutat, Alaska, United States, North America) (glacier)",G219251E60184N,,GNIS / Constructed / GLIMS / 08/20/2018 KF,GNIS / Constructed / GLIMS / 2018/08/20 KF - Katie: I think coverage needs to be Yakutat City and Borough to stay consistent with other coverage from this area 8/21/18 AM
Agassiz Glacier (Montana),United States,Montana,48.9338961,-114.1578449,"Agassiz Glacier (Flathead, Montana, United States, North America) (glacier)",G245842E48935N,,GNIS / Constructed / GLIMS / 2/6/2018 KF,GNIS / Constructed / GLIMS / 2/6/2018 KF
Agassiz Glacier (Yukon),Canada,Yukon,60.233333,-140.633333,"Agassiz Glacier (Yukon, Canada, North America) (glacier)",,,Natural Resources Canada / Constructed / GLIMS existence could not be verified,Natural Resources Canada / Constructed / No GLIMS verified
Agassiz Lakes,United States,Alaska,60.1369034,-140.9928308,"Agassiz Lakes (Yakutat, Alaska, United States, North America) (glacier)",,,GNIS / Constructed / No GLIMS / 2/14/2019 KF,GNIS / Constructed / No GLIMS / 2/14/2019 KF
Agpat Glacier,Greenland,Qaasuitsup,76.082222,-68.028611,"Sermipaluk (Qaasuitsup, Greenland, North America) (glacier)",,Agpat Glacier; Agpat Sermipalaut; Agpat Sermipaluat,NGA GeoNames / Constructed / No GLIMS / 1/11/2018 KF,NGA GeoNames / Constructed / No GLIMS / 1/11/2018 KF
Ahern Glacier,United States,Montana,48.8426729,-113.7838374,"Ahern Glacier (Glacier, Montana, United States, North America) (glacier)",G246218E48841N,,GNIS / Getty / GLIMS / 3/1/2018 KF,GNIS / Getty / GLIMS / 3/1/2018 KF
Ahern Pass,United States,Montana,48.8219223,-113.865053,"Ahern Pass (Glacier, Montana, United States, North America) (gap)",,,,
Aho Glacier,United States,Alaska,60.8048085,-152.6463351,"Aho Glacier (Kenai Peninsula, Alaska, United States, North America) (glacier)",G207355E60804N,,GNIS / Getty / GLIMS unverified / 10/4/2018 EB - Kenai D-8,GNIS / Getty / GLIMS unverified / 10/4/2018 EB - Kenai D-8
Aialik Glacier,United States,Alaska,59.9784115,-149.9091843,"Aialik Glacier (Kenai Peninsula, Alaska, United States, North America) (glacier)",G210167E59967N,,GNIS / Getty / GLIMS unverified / 10/4/2018 EB - Blying Sound D-8,GNIS / Getty / GLIMS unverified / 10/4/2018 EB - Blying Sound D-8
Aida Glacier,New Zealand,Canterbury,-43.519472,170.427028,"Aida Glacier (Canterbury, New Zealand, Oceania) (glacier)",,,"NGA GeoNames / Constructed / GLIMS & Sirguey (correlations list) - no data for Aida Glacier / 2/8/2018 KF
From Pascal Sirguey - University of Otago, NZ - Bruce Raup contacted 2/7/2018, provided list of NZ glaciers and corresponding GLIMS IDs (if any present for glacier).  Info based on ArcGIS point merge data based on proximity. ","NGA GeoNames / Constructed / GLIMS & Sirguey (correlations list) - no data for Aida Glacier / 2/8/2018 KF
From Pascal Sirguey - University of Otago, NZ - Bruce Raup contacted 2/7/2018, provided list of NZ glaciers and corresponding GLIMS IDs (if any present for glacier).  Info based on ArcGIS point merge data based on proximity. "
Aiguille du Dru,France,Auvergne-Rhône-Alpes,45.93333,6.95,"Aiguille de Dru (Haute-Savoie, Auvergne-Rhône-Alpes, France, Europe) (peak)",,,coordinates & coverage GeoNames; no glims 1/31/19 AM,coordinates & coverage GeoNames; no glims 1/31/19 AM
Airdevronsix Icefalls,Antarctica,,-77.521488,160.400203,Airdevronsix Icefalls (Antarctica),,,GNIS Antarctica / Constructed / No GLIMS / 11/1/2018 KF,GNIS Antarctica / Constructed / No GLIMS / 11/1/2018 KF
Akuluktok Peak,United States,Alaska,59.6358333,-158.9658333,"Akuluktok Peak (Dillingham, Alaska, United States, North America) (peak)",,,,
,United States,Alaska,,,"Alaska (United States, North America) (state)",,,General coverage for state.,
Albigna Glacier,Switzerland,Graubünden,46.299894,9.645312,"Albigna Glaciers (Vicosoprano, Graubünden, Switzerland, Europe) (glacier)",G009641E46297N,Vadrec d' Albigna,http://swiss-glaciers.glaciology.ethz.ch/glacierlist.html - coordinates & coverage Swiss Glaciers; glims verified 10/30/18 AM,http://swiss-glaciers.glaciology.ethz.ch/glacierlist.html - coordinates & coverage Swiss Glaciers; glims verified 10/30/18 AM
Alerce Glacier,Argentina,Rio Negro,-41.166667,-71.9,"Alerce Glacier (Monte Tronador, Rio Negro, Argentina, South America) (glacier)",,,coverage built; coordinates google earth verified; no glims 10/22/18 AM,coverage built; coordinates google earth verified; no glims 10/22/18 AM
Aleutian Range,United States,Alaska,,,"Aleutian Range (Alaska, United States, North America) (mountain range)",,,General coverage for mountain range.,
Alfotbreen Glacier,Norway,Sogn og Fjordane,61.75,5.66666,"Ålfotbreen (Sogn og Fjordane, Norway, Europe) (icecap)",,,NGA GeoNames / constructed / No GLIMS / 11/6/2018 KF,NGA GeoNames / constructed / No GLIMS / 11/6/2018 KF
Allalin Glacier,Switzerland,Valais,46.03258,7.903593,"Allalin Glacier (Saas Almagell, Valais, Switzerland, Europe) (glacier)",G007896E46027N,Allalingletscher,http://swiss-glaciers.glaciology.ethz.ch/glacierlist?year=2017&submit=Go%2521&order=&field= coordinates & coverage swiss glaciers; glims verified 10/30/18 AM,http://swiss-glaciers.glaciology.ethz.ch/glacierlist?year=2017&submit=Go%2521&order=&field= coordinates & coverage swiss glaciers; glims verified 10/30/18 AM
Allen Glacier,United States,Alaska,60.79916,-144.79083,"Allen Glacier (Valdez-Cordova, Alaska, United States, North America) (glacier)",G215094E60780N,,Washburn spreadsheet / Athea 8/2018,Washburn spreadsheet / Athea 8/2018
Alpetli Glacier,Switzerland,Bern,46.478255,7.79673,"Alpetli Glacier (Kandersteg, Bern, Switzerland, Europe) (glacier)",G007807E46481N,Alpetli (Kanderfirn),http://swiss-glaciers.glaciology.ethz.ch/glacierlist?year=2017&submit=Go%2521&order=&field=  coordinate & coverage Swiss Glaciers; glims verified 10/30/18 AM,http://swiss-glaciers.glaciology.ethz.ch/glacierlist?year=2017&submit=Go%2521&order=&field=  coordiante & coverage Swiss Glaciers; glims verified 10/30/18 AM
Alps (Mountain System),,,,,Alps (Europe) (mountain system),,,General coverage for mountain range.,
Alsek Glacier,United States,Alaska,59.2013,-138.0469,"Alsek Glacier (Yakutat, Alaska, United States, North America) (glacier)",G222077E59292N,,coordinates NSIDC database; coverage Getty; glims verified 2/13/18,coordinates NSIDC database; coverage Getty; glims verified 2/13/18
